cve_id,primary_urls,secondary_urls,dead_links,ignored_links,failed_links,has_combined,has_refined
CVE-2022-31041,2,0,0,0,0,True,True
CVE-2021-3434,1,0,0,0,0,True,True
CVE-2022-29210,5,0,0,0,0,True,True
CVE-2021-29722,3,0,0,0,0,True,True
CVE-2022-23130,3,0,0,0,0,True,True
CVE-2022-22764,4,0,0,0,0,True,True
CVE-2022-31704,2,0,0,0,0,True,True
CVE-2022-32796,1,0,0,0,0,True,True
CVE-2021-4058,5,0,0,0,0,True,True
CVE-2022-44877,6,0,0,0,0,True,True
CVE-2022-25650,1,0,0,0,0,True,True
CVE-2022-35101,1,0,0,0,0,True,True
CVE-2022-42161,2,0,0,0,0,True,True
CVE-2022-42499,1,0,0,0,0,True,True
CVE-2022-21933,1,0,0,0,0,True,False
CVE-2021-44399,1,0,0,0,0,True,False
CVE-2022-39904,1,0,0,0,0,True,False
CVE-2021-43270,1,0,0,0,0,True,False
CVE-2021-40763,1,0,0,0,0,True,False
CVE-2022-24409,1,0,0,0,0,True,True
CVE-2022-31085,3,0,0,0,0,True,False
CVE-2022-31577,1,0,0,0,0,True,False
CVE-2022-31039,2,0,0,0,0,True,False
CVE-2022-4270,2,0,0,0,0,True,False
CVE-2022-38388,2,0,0,0,0,True,False
CVE-2022-2171,1,0,0,0,0,True,False
CVE-2022-20206,1,0,0,0,0,True,False
CVE-2022-38469,2,0,0,0,0,True,False
CVE-2022-1365,2,0,0,0,0,True,True
CVE-2022-34384,1,0,0,0,0,True,False
CVE-2022-35735,1,0,0,0,0,True,False
CVE-2022-39112,1,0,0,0,0,True,False
CVE-2022-45842,1,0,0,0,0,True,False
CVE-2022-38678,1,0,0,0,0,True,False
CVE-2022-32243,2,0,0,0,0,True,False
CVE-2022-22710,1,0,0,0,0,True,False
CVE-2022-3378,1,0,0,0,0,True,False
CVE-2021-38012,4,0,0,0,0,True,False
CVE-2022-25823,1,0,0,0,0,True,False
CVE-2022-40306,3,0,0,0,0,True,False
CVE-2022-2987,1,0,0,0,0,True,False
CVE-2022-27774,5,0,0,0,0,True,False
CVE-2022-0735,2,0,0,0,0,True,False
CVE-2022-36485,1,0,0,0,0,True,False
CVE-2022-25208,2,0,0,0,0,True,False
CVE-2022-3383,4,0,0,0,0,True,False
CVE-2022-27567,1,0,0,0,0,True,False
CVE-2022-29203,7,0,0,0,0,True,False
CVE-2022-35238,2,0,0,0,0,True,False
CVE-2022-0333,2,0,0,0,0,True,False
CVE-2022-30990,1,0,0,0,0,True,False
CVE-2022-34839,2,0,0,0,0,True,False
CVE-2022-20459,1,0,0,0,0,True,False
CVE-2022-25237,2,0,0,0,0,True,False
CVE-2022-32658,1,0,0,0,0,True,False
CVE-2022-2896,1,0,0,0,0,True,False
CVE-2022-33695,1,0,0,0,0,True,False
CVE-2022-36616,1,0,0,0,0,True,False
CVE-2022-30745,1,0,0,0,0,True,False
CVE-2021-44776,2,0,0,0,0,True,False
CVE-2022-26187,1,0,0,0,0,True,False
CVE-2022-34164,3,0,0,0,0,True,False
CVE-2022-39263,2,0,0,0,0,True,False
CVE-2022-32530,1,0,0,0,0,True,False
CVE-2021-28965,3,0,0,0,0,True,False
CVE-2022-38381,1,0,0,0,0,True,False
CVE-2021-43304,2,0,0,0,0,True,False
CVE-2022-45390,2,0,0,0,0,True,False
CVE-2022-1639,3,0,0,0,0,True,False
CVE-2022-21148,1,0,0,0,0,True,False
CVE-2022-26774,1,0,0,0,0,True,False
CVE-2022-36633,3,0,0,0,0,True,False
CVE-2022-28137,2,0,0,0,0,True,False
CVE-2022-36369,1,0,0,0,0,True,False
CVE-2021-40783,1,0,0,0,0,True,False
CVE-2022-34410,1,0,0,0,0,True,False
CVE-2022-28622,1,0,0,0,0,True,False
CVE-2022-32765,1,0,0,0,0,True,False
CVE-2022-3307,2,0,0,0,0,True,False
CVE-2022-26841,1,0,0,0,0,True,False
CVE-2022-3186,1,0,0,0,0,True,False
CVE-2022-41198,2,0,0,0,0,True,False
CVE-2021-35112,1,0,0,0,0,True,False
CVE-2022-36903,2,0,0,0,0,True,False
CVE-2022-26885,1,0,0,0,0,True,False
CVE-2022-30308,1,0,0,0,0,True,False
CVE-2022-20225,1,0,0,0,0,True,False
CVE-2022-28703,1,0,0,0,0,True,False
CVE-2022-40475,1,0,0,0,0,True,False
CVE-2022-28940,1,0,0,0,1,False,False
CVE-2022-22814,1,0,0,0,1,False,False
CVE-2022-0098,5,0,0,0,0,True,False
CVE-2022-24116,1,0,0,0,0,True,False
CVE-2022-43413,2,0,0,0,0,True,False
CVE-2022-0220,1,0,0,0,0,True,False
CVE-2022-20263,1,0,0,0,0,True,False
CVE-2022-29580,1,0,0,0,0,True,False
CVE-2022-30732,1,0,0,0,0,True,False
CVE-2022-48423,3,0,0,0,0,True,False
CVE-2022-38372,1,0,0,0,0,True,False
CVE-2022-39883,1,0,0,0,0,True,False
CVE-2022-0952,1,0,0,0,0,True,False
CVE-2022-29588,2,0,0,0,0,True,False
